2023 Social Accounting Matrix for Papua New Guinea,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,row,total
Activities - Maize,amaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29462245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355398729,0.473484766,0.675971142,0.866494079,1.234074705,0.01496039,0.046683157,0.020437496,0.269417479,0.389386451,,,,,,,,,14.64093084
Activities - Rice,arice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800661605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800661605
Activities - Other cereals,aocer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.116747728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.116747728
Activities - Pulses,apuls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.634693134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.195355644,2.021182282,1.018392163,1.138849248,2.007102595,0.009305379,,0.139705984,0.131805556,0.33252811,,,,,,,,,18.6289201
Activities - Oilseeds,aoils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673.163966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.56945143,101.0179949,104.6238441,127.4010605,124.3219407,0.143258468,1.722457092,2.907916818,13.41881428,23.63230283,,,,,,,,,3217.923007
Activities - Roots,aroot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.5631961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9213548,275.0030303,321.9421512,372.3860791,341.5853379,3.358415387,9.780313685,32.36104295,74.34657907,158.1448477,,,,,,,,,2416.392348
Activities - Vegetables,avege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.6348588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.047167,53.1783633,59.81434478,84.56590527,104.9986266,0.251725351,1.251355022,2.404050084,5.834585118,32.66728228,,,,,,,,,682.6482636
Activities - Sugarcane,asugr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.08781932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.811536738,2.831279369,3.604142208,2.81080992,1.944238481,,,,,,,,,,,,,,85.08982603
Activities - Fruits and nuts,afrui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386.917441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.205351,760.2494933,1002.241432,1281.916322,1615.253739,3.854423824,31.67182707,72.18101717,174.0673526,452.242303,,,,,,,,,7229.800702
"Activities - Coffee, tea and cocoa",acoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.7787686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.7787686
Activities - Other crops,aocrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67984494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67984494
Activities - Cattle and raw milk,acatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.70929502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016436695,0.060629788,0.23703703,0.090611098,,,0.022840378,0.008218611,0.4427893,,,,,,,,,64.58785792
Activities - Poultry and eggs,apoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2346818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.046023793,2.08119796,3.725875281,3.997421066,5.306092795,0.018323065,0.103896387,0.196227359,0.363237067,1.95183348,,,,,,,,,128.0248101
Activities - Other livestock,aoliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4462.98767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7789479,405.51352,451.213756,563.2685055,947.9096093,0.572754927,0.288376229,2.887131265,13.01632119,205.6422588,,,,,,,,,7281.078852
Activities - Forestry,afore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.843626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.843626
Activities - Fisheries,afish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.935734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03695547,62.29823047,89.72451681,131.7893318,134.0445579,0.688704134,1.33016381,5.811925195,14.219642,86.14448243,,,,,,,,,1844.024244
Activities - Mining,amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38720.16306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38720.16306
Activities - Processed foods,afood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016.199881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016.199881
Activities - Beverage and tobacco,abeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.169985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.169985
"Activities - Textiles, clothing and footwear",atext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.6440955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.6440955
Activities - Wood and paper products,awood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.8960793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.8960793
Activities - Chemicals and petroleum,achem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0589245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0589245
Activities - Non-metal minerals,anmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.114231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.114231
Activities - Metals and metal products,ametl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4308.35355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4308.35355
"Activities - Machinery, equipment and vehicles",amach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.2977078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.2977078
Activities - Other manufacturing,aoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.29530901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.29530901
"Activities - Electricity, gas and steam",aelec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.614463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.614463
Activities - Water supply and sewage,awatr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.4273059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.4273059
Activities - Construction,acons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16922.58968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16922.58968
Activities - Wholesale and retail trade,atrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13465.78424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13465.78424
Activities - Transportation and storage,atran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795.740065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795.740065
Activities - Accommodation and food services,ahotl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.007505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.007505
Activities - Information and communication,acomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4429.666011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4429.666011
Activities - Finance and insurance,afsrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288.838595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288.838595
Activities - Real estate activities,areal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860.687837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860.687837
Activities - Business services,absrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16196.58121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16196.58121
Activities - Public administration,apadm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12799.3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12799.3341
Activities - Education,aeduc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3265.438734,,,,,,,,,,,,,,,,,,,,,,,,,,,,3265.438734
Activities - Health and social work,aheal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259.060912,,,,,,,,,,,,,,,,,,,,,,,,,,,5259.060912
Activities - Other services,aosrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396.556024,,,,,,,,,,,,,,,,,,,,,,,,,,1396.556024
Commodities - Maize,cmaiz,1.330437597,,,,,,,,,,,,,,,,,14.44118938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017156804,0.018253507,0.047351166,0.033428443,0.097262701,0.248724628,0.263297092,0.054541842,0.122947257,0.474451635,,,,,,,,,17.14904205
Commodities - Rice,crice,,0.368972701,,,,,,,,,,,,,,,,2.541007404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.909980106
