Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Households,Government,Investment,Exports,Imports,700,309
1,"Maiz, Pulses, Other Cereals",cmaiz,Food Crops,"Agriculture, Forestry and Fishery",0.0661,0,0,0,0,0,0,0,0,0,0,0,0,0.2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5511,0,0,0.0739,-0.170046,6.797554,6.454954
2,Rice,crice,Food Crops,"Agriculture, Forestry and Fishery",0,0.0272,0,0,0,0,0,0,0,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000279,0.075621,-0.000279
3,Oilseeds,coils,Plantation Crops,"Agriculture, Forestry and Fishery",0,0,45.4746,0,0,0,0,0.5491,0.4362,23.6257,0,0,0,178.6744,29.8376,22.9833,8.3815,0,0.3421,0,6.3742,0,0,0,27.9456,0,0,0,0,53.6999,4.2336,32.9183,13.1752,0,6.2525,0,0,5.3381,-1.653363,458.588537,9.937237
4,"Horticulture (Vegetables, Roots, fruits and nuts)",csugr,Horticultural Crops,"Agriculture, Forestry and Fishery",0,0,0,0,0,0,0,0.3599,0.188,12.187,0,0.0002,0.0067,0.1344,2.0306,0.2899,0.0138,0,0.0008,0.0016,0,0.0217,0.0015,0.0126,1.0389,0.0182,0.0095,0.0077,2.3249,5.6524,0.1139,13.5363,0.6199,0,88.6304,0,0,0,-0.142136,127.058764,88.488264
5,Sugarcane,csugr,Horticultural Crops,"Agriculture, Forestry and Fishery",0,0,0,0,0.0962,0,0,0.0134,0.006,0.1472,0,0,0,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0293,0,0,0,0,0.1737,0,0,0,-0.001084,0.466216,0.172616
6,"Coffee, tea and cocoa",ccoff,Plantation Crops,"Agriculture, Forestry and Fishery",0,0,0,0,0,12.2997,0,0,0,0,0,0,0,0.0015,0.0195,0,0.0005,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0.0001,0,0,0,0.8589,0,0,33.3028,-0.045415,46.439385,34.116285
7,Other crops,cocrp,Plantation & Other Crops,"Agriculture, Forestry and Fishery",0,0,0.0005,0,0.0016,0.4843,0.7899,0.0006,0.0048,0.159,0.9725,0.0003,0,0.0001,0.0006,0,0.3384,0,0.0031,0.1271,0,0,0.0025,0.0149,0.0009,0,0,0,0,0.0128,0.0003,0.0006,0.0005,0,0,0,0,0,-0.010742,2.904558,-0.010742
8,Cattle and raw milk,ccatt,Livestock,"Agriculture, Forestry and Fishery",0,0,0.0017,0,0.0026,0.224,0.0083,0.0161,0.0002,0,1.2386,0.0008,0,0.0024,0,0,0.0001,0,0,0,0,0,0,0,0.0015,0,0,0,0,0.7141,0.0036,0.0136,0.02,0,0.1099,0,0,0,-0.008287,2.349713,0.101613
9,Poultry and eggs,cpoul,Livestock,"Agriculture, Forestry and Fishery",0,0,0.0001,0,0.0021,0.6687,0.0014,0.008,0.1044,0.5855,0,0.0002,0,0.0034,0.0001,0,0.0001,0,0,0,0.0011,0,0,0,0.0216,0,0,0,0,0.0874,0.0055,0.1709,0.0062,0,1.756,0,0,0,-0.006143,3.416557,1.749857
