Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,Households,Government,Investment,Exports,Imports,700,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maize,cmaiz,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.62 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.09 , -   , -   , -   , -   , 0.31 , -   , -   , -   , -   , 0.29 , -   , -   , 0.06 , -   , 1.37 , 0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rice,crice,A,A, -   , 0.22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.08 , -   , -   , -   , -   , -   , -   , -   , 0.02 , -   , 0.31 , 0.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Other cereals,cocer,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.28 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , -   , 0.29 , 0.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pulses,cpuls,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.24 , -   , -   , 0.20 , -   , 0.44 , 0.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Oilseeds,coils,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 160.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23.42 , -   , 16.34 , -   , -   , 47.69 , -   , 247.76 , 64.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Roots,croot,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.29 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12.17 , -   , -   , 0.27 , -   , 16.73 , 12.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Vegetables,cvege,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.35 , -   , -   , -   , 1.75 , 0.22 , -   , -   , -   , -   , -   , -   , -   , -   , 11.57 , -   , -   , 0.15 , -   , 14.04 , 11.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sugarcane,csugr,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.03 , -   , -   , -   , (0.19), 0.85 , 0.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fruits and nuts,cfrui,A,A, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.04 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.71 , -   , -   , -   , -   , -   , -   , 0.11 , -   , -   , 27.65 , -   , -   , 1.09 , -   , 31.60 , 28.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
